Event,Stage,From,To,Type,Points
baku-2012,grand-final,ireland,Azerbaijan,Televoting,1
baku-2012,grand-final,israel,Sweden,Televoting,12
baku-2012,grand-final,israel,Spain,Televoting,10
baku-2012,grand-final,israel,Azerbaijan,Televoting,8
baku-2012,grand-final,israel,Russia,Televoting,7
baku-2012,grand-final,israel,Romania,Televoting,6
baku-2012,grand-final,israel,Moldova,Televoting,5
baku-2012,grand-final,israel,Italy,Televoting,4
baku-2012,grand-final,israel,Cyprus,Televoting,3
baku-2012,grand-final,israel,Greece,Televoting,2
baku-2012,grand-final,israel,Turkey,Televoting,1
baku-2012,grand-final,italy,Albania,Televoting,12
baku-2012,grand-final,italy,Russia,Televoting,10
baku-2012,grand-final,italy,Germany,Televoting,8
baku-2012,grand-final,italy,Romania,Televoting,7
baku-2012,grand-final,italy,Serbia,Televoting,6
baku-2012,grand-final,italy,Cyprus,Televoting,5
baku-2012,grand-final,italy,Moldova,Televoting,4
baku-2012,grand-final,italy,Ukraine,Televoting,3
baku-2012,grand-final,italy,Denmark,Televoting,2
baku-2012,grand-final,italy,F.Y.R. Macedonia,Televoting,1
baku-2012,grand-final,latvia,Sweden,Televoting,12
baku-2012,grand-final,latvia,Russia,Televoting,10
baku-2012,grand-final,latvia,Estonia,Televoting,8
baku-2012,grand-final,latvia,Germany,Televoting,7
baku-2012,grand-final,latvia,Ukraine,Televoting,6
baku-2012,grand-final,latvia,Ireland,Televoting,5
baku-2012,grand-final,latvia,Lithuania,Televoting,4
baku-2012,grand-final,latvia,France,Televoting,3
baku-2012,grand-final,latvia,United Kingdom,Televoting,2
baku-2012,grand-final,latvia,Albania,Televoting,1
baku-2012,grand-final,lithuania,Azerbaijan,Televoting,12
baku-2012,grand-final,lithuania,Sweden,Televoting,10
baku-2012,grand-final,lithuania,Estonia,Televoting,8
baku-2012,grand-final,lithuania,Malta,Televoting,7
baku-2012,grand-final,lithuania,Russia,Televoting,6
baku-2012,grand-final,lithuania,Serbia,Televoting,5
baku-2012,grand-final,lithuania,Italy,Televoting,4
baku-2012,grand-final,lithuania,Germany,Televoting,3
baku-2012,grand-final,lithuania,Ukraine,Televoting,2
baku-2012,grand-final,lithuania,Turkey,Televoting,1
baku-2012,grand-final,malta,Azerbaijan,Televoting,12
baku-2012,grand-final,malta,Italy,Televoting,10
baku-2012,grand-final,malta,Turkey,Televoting,8
baku-2012,grand-final,malta,Ukraine,Televoting,7
baku-2012,grand-final,malta,Sweden,Televoting,6
baku-2012,grand-final,malta,Serbia,Televoting,5
baku-2012,grand-final,malta,Lithuania,Televoting,4
baku-2012,grand-final,malta,Russia,Televoting,3
baku-2012,grand-final,malta,Germany,Televoting,2
baku-2012,grand-final,malta,Albania,Televoting,1
baku-2012,grand-final,moldova,Romania,Televoting,12
baku-2012,grand-final,moldova,Azerbaijan,Televoting,10
baku-2012,grand-final,moldova,Ukraine,Televoting,8
baku-2012,grand-final,moldova,Sweden,Televoting,7
baku-2012,grand-final,moldova,Russia,Televoting,6
baku-2012,grand-final,moldova,Italy,Televoting,5
baku-2012,grand-final,moldova,Greece,Televoting,4
baku-2012,grand-final,moldova,Serbia,Televoting,3
baku-2012,grand-final,moldova,Estonia,Televoting,2
baku-2012,grand-final,moldova,Hungary,Televoting,1
baku-2012,grand-final,montenegro,Serbia,Televoting,12
baku-2012,grand-final,montenegro,Albania,Televoting,10
baku-2012,grand-final,montenegro,F.Y.R. Macedonia,Televoting,8
baku-2012,grand-final,montenegro,Sweden,Televoting,7
baku-2012,grand-final,montenegro,Bosnia & Herzegovina,Televoting,6
baku-2012,grand-final,montenegro,Azerbaijan,Televoting,5
baku-2012,grand-final,montenegro,Russia,Televoting,4
baku-2012,grand-final,montenegro,Moldova,Televoting,3
baku-2012,grand-final,montenegro,Italy,Televoting,2
baku-2012,grand-final,montenegro,Lithuania,Televoting,1
baku-2012,grand-final,norway,Sweden,Televoting,12
baku-2012,grand-final,norway,Serbia,Televoting,10
baku-2012,grand-final,norway,Russia,Televoting,8
baku-2012,grand-final,norway,Estonia,Televoting,7
baku-2012,grand-final,norway,Lithuania,Televoting,6
baku-2012,grand-final,norway,Iceland,Televoting,5
baku-2012,grand-final,norway,Italy,Televoting,4
baku-2012,grand-final,norway,Germany,Televoting,3
baku-2012,grand-final,norway,Denmark,Televoting,2
baku-2012,grand-final,norway,Ukraine,Televoting,1
baku-2012,grand-final,portugal,Spain,Televoting,12
baku-2012,grand-final,portugal,Germany,Televoting,10
baku-2012,grand-final,portugal,Russia,Televoting,8
baku-2012,grand-final,portugal,Estonia,Televoting,7
baku-2012,grand-final,portugal,Moldova,Televoting,6
baku-2012,grand-final,portugal,Serbia,Televoting,5
baku-2012,grand-final,portugal,Romania,Televoting,4
baku-2012,grand-final,portugal,Sweden,Televoting,3
baku-2012,grand-final,portugal,Italy,Televoting,2
baku-2012,grand-final,portugal,Ukraine,Televoting,1
baku-2012,grand-final,romania,Moldova,Televoting,12
baku-2012,grand-final,romania,Sweden,Televoting,10
baku-2012,grand-final,romania,Greece,Televoting,8
baku-2012,grand-final,romania,Hungary,Televoting,7
baku-2012,grand-final,romania,Spain,Televoting,6
baku-2012,grand-final,romania,Serbia,Televoting,5
baku-2012,grand-final,romania,Russia,Televoting,4
baku-2012,grand-final,romania,Turkey,Televoting,3
baku-2012,grand-final,romania,Cyprus,Televoting,2
baku-2012,grand-final,romania,Albania,Televoting,1
baku-2012,grand-final,russia,Sweden,Televoting,12
baku-2012,grand-final,russia,Azerbaijan,Televoting,10
baku-2012,grand-final,russia,Ukraine,Televoting,8
baku-2012,grand-final,russia,Moldova,Televoting,7
baku-2012,grand-final,russia,Estonia,Televoting,6
baku-2012,grand-final,russia,Lithuania,Televoting,5
baku-2012,grand-final,russia,Serbia,Televoting,4
baku-2012,grand-final,russia,Greece,Televoting,3
baku-2012,grand-final,russia,Cyprus,Televoting,2
baku-2012,grand-final,russia,Romania,Televoting,1
baku-2012,grand-final,san-marino,Albania,Televoting,12
baku-2012,grand-final,san-marino,Russia,Televoting,10
baku-2012,grand-final,san-marino,Moldova,Televoting,8
baku-2012,grand-final,san-marino,Italy,Televoting,7
baku-2012,grand-final,san-marino,Serbia,Televoting,6
baku-2012,grand-final,san-marino,Turkey,Televoting,5
baku-2012,grand-final,san-marino,Azerbaijan,Televoting,4
baku-2012,grand-final,san-marino,Sweden,Televoting,3
baku-2012,grand-final,san-marino,Malta,Televoting,2
baku-2012,grand-final,san-marino,Spain,Televoting,1
baku-2012,grand-final,serbia,F.Y.R. Macedonia,Televoting,12
baku-2012,grand-final,serbia,Sweden,Televoting,10
baku-2012,grand-final,serbia,Cyprus,Televoting,8
baku-2012,grand-final,serbia,Russia,Televoting,7
baku-2012,grand-final,serbia,Malta,Televoting,6
baku-2012,grand-final,serbia,Bosnia & Herzegovina,Televoting,5
baku-2012,grand-final,serbia,Greece,Televoting,4
baku-2012,grand-final,serbia,Azerbaijan,Televoting,3
baku-2012,grand-final,serbia,Hungary,Televoting,2
baku-2012,grand-final,serbia,Albania,Televoting,1
baku-2012,grand-final,slovakia,Sweden,Televoting,12
baku-2012,grand-final,slovakia,Estonia,Televoting,10
baku-2012,grand-final,slovakia,Hungary,Televoting,8
baku-2012,grand-final,slovakia,Serbia,Televoting,7
baku-2012,grand-final,slovakia,Azerbaijan,Televoting,6
baku-2012,grand-final,slovakia,Italy,Televoting,5
baku-2012,grand-final,slovakia,Iceland,Televoting,4
baku-2012,grand-final,slovakia,Russia,Televoting,3
baku-2012,grand-final,slovakia,Bosnia & Herzegovina,Televoting,2
baku-2012,grand-final,slovakia,F.Y.R. Macedonia,Televoting,1
baku-2012,grand-final,slovenia,Serbia,Televoting,12
baku-2012,grand-final,slovenia,Sweden,Televoting,10
baku-2012,grand-final,slovenia,Russia,Televoting,8
baku-2012,grand-final,slovenia,Bosnia & Herzegovina,Televoting,7
baku-2012,grand-final,slovenia,F.Y.R. Macedonia,Televoting,6
baku-2012,grand-final,slovenia,Italy,Televoting,5
baku-2012,grand-final,slovenia,Iceland,Televoting,4
baku-2012,grand-final,slovenia,Albania,Televoting,3
baku-2012,grand-final,slovenia,Germany,Televoting,2
baku-2012,grand-final,slovenia,Moldova,Televoting,1
baku-2012,grand-final,spain,Sweden,Televoting,12
baku-2012,grand-final,spain,Romania,Televoting,10
baku-2012,grand-final,spain,Russia,Televoting,8
baku-2012,grand-final,spain,Moldova,Televoting,7
baku-2012,grand-final,spain,Estonia,Televoting,6
baku-2012,grand-final,spain,Cyprus,Televoting,5
baku-2012,grand-final,spain,Iceland,Televoting,4
baku-2012,grand-final,spain,Germany,Televoting,3
baku-2012,grand-final,spain,Ukraine,Televoting,2
baku-2012,grand-final,spain,Italy,Televoting,1
baku-2012,grand-final,sweden,Cyprus,Televoting,12
baku-2012,grand-final,sweden,Serbia,Televoting,10
baku-2012,grand-final,sweden,Estonia,Televoting,8
baku-2012,grand-final,sweden,Russia,Televoting,7
baku-2012,grand-final,sweden,Turkey,Televoting,6
baku-2012,grand-final,sweden,Ireland,Televoting,5
baku-2012,grand-final,sweden,Spain,Televoting,4
baku-2012,grand-final,sweden,Norway,Televoting,3
baku-2012,grand-final,sweden,France,Televoting,2
baku-2012,grand-final,sweden,Albania,Televoting,1
baku-2012,grand-final,switzerland,Albania,Televoting,12
baku-2012,grand-final,switzerland,Serbia,Televoting,10
baku-2012,grand-final,switzerland,Spain,Televoting,8
baku-2012,grand-final,switzerland,Sweden,Televoting,7
baku-2012,grand-final,switzerland,France,Televoting,6
baku-2012,grand-final,switzerland,Italy,Televoting,5
baku-2012,grand-final,switzerland,Germany,Televoting,4
baku-2012,grand-final,switzerland,Turkey,Televoting,3
baku-2012,grand-final,switzerland,Moldova,Televoting,2
baku-2012,grand-final,switzerland,Bosnia & Herzegovina,Televoting,1
baku-2012,grand-final,the-netherlands,Sweden,Televoting,12
baku-2012,grand-final,the-netherlands,Serbia,Televoting,10
baku-2012,grand-final,the-netherlands,Turkey,Televoting,8
baku-2012,grand-final,the-netherlands,Estonia,Televoting,7
baku-2012,grand-final,the-netherlands,Spain,Televoting,6
baku-2012,grand-final,the-netherlands,Ireland,Televoting,5
baku-2012,grand-final,the-netherlands,Russia,Televoting,4
baku-2012,grand-final,the-netherlands,Norway,Televoting,3
baku-2012,grand-final,the-netherlands,Germany,Televoting,2
baku-2012,grand-final,the-netherlands,Lithuania,Televoting,1
baku-2012,grand-final,turkey,Azerbaijan,Televoting,12
baku-2012,grand-final,turkey,Bosnia & Herzegovina,Televoting,10
baku-2012,grand-final,turkey,F.Y.R. Macedonia,Televoting,8
baku-2012,grand-final,turkey,Russia,Televoting,7
baku-2012,grand-final,turkey,Sweden,Televoting,6
baku-2012,grand-final,turkey,Albania,Televoting,5
baku-2012,grand-final,turkey,Romania,Televoting,4
baku-2012,grand-final,turkey,Greece,Televoting,3
baku-2012,grand-final,turkey,Malta,Televoting,2
baku-2012,grand-final,turkey,Hungary,Televoting,1
baku-2012,grand-final,ukraine,Azerbaijan,Televoting,12
baku-2012,grand-final,ukraine,Russia,Televoting,10
baku-2012,grand-final,ukraine,Moldova,Televoting,8
baku-2012,grand-final,ukraine,Malta,Televoting,7
baku-2012,grand-final,ukraine,Sweden,Televoting,6
baku-2012,grand-final,ukraine,Greece,Televoting,5
baku-2012,grand-final,ukraine,Italy,Televoting,4
baku-2012,grand-final,ukraine,F.Y.R. Macedonia,Televoting,3
baku-2012,grand-final,ukraine,Serbia,Televoting,2
baku-2012,grand-final,ukraine,Estonia,Televoting,1
baku-2012,grand-final,united-kingdom,Sweden,Televoting,12
baku-2012,grand-final,united-kingdom,Ireland,Televoting,10
baku-2012,grand-final,united-kingdom,Spain,Televoting,8
baku-2012,grand-final,united-kingdom,Lithuania,Televoting,7
baku-2012,grand-final,united-kingdom,Germany,Televoting,6
baku-2012,grand-final,united-kingdom,Malta,Televoting,5
baku-2012,grand-final,united-kingdom,Estonia,Televoting,4
baku-2012,grand-final,united-kingdom,Russia,Televoting,3
baku-2012,grand-final,united-kingdom,Azerbaijan,Televoting,2
baku-2012,grand-final,united-kingdom,Turkey,Televoting,1
dusseldorf-2011,first-semi-final,albania,Turkey,Televoting,12
dusseldorf-2011,first-semi-final,albania,Greece,Televoting,10
dusseldorf-2011,first-semi-final,albania,San Marino,Televoting,8
dusseldorf-2011,first-semi-final,albania,Croatia,Televoting,7
dusseldorf-2011,first-semi-final,albania,Malta,Televoting,6
dusseldorf-2011,first-semi-final,albania,Azerbaijan,Televoting,5
dusseldorf-2011,first-semi-final,albania,Portugal,Televoting,4
dusseldorf-2011,first-semi-final,albania,Russia,Televoting,3
dusseldorf-2011,first-semi-final,albania,Serbia,Televoting,2
dusseldorf-2011,first-semi-final,albania,Norway,Televoting,1
dusseldorf-2011,first-semi-final,armenia,Russia,Televoting,12
dusseldorf-2011,first-semi-final,armenia,Greece,Televoting,10
dusseldorf-2011,first-semi-final,armenia,Georgia,Televoting,8
dusseldorf-2011,first-semi-final,armenia,Malta,Televoting,7
dusseldorf-2011,first-semi-final,armenia,Finland,Televoting,6
dusseldorf-2011,first-semi-final,armenia,San Marino,Televoting,5
dusseldorf-2011,first-semi-final,armenia,Lithuania,Televoting,4
dusseldorf-2011,first-semi-final,armenia,Switzerland,Televoting,3
dusseldorf-2011,first-semi-final,armenia,Iceland,Televoting,2
dusseldorf-2011,first-semi-final,armenia,Norway,Televoting,1
dusseldorf-2011,first-semi-final,azerbaijan,Turkey,Televoting,12
dusseldorf-2011,first-semi-final,azerbaijan,Greece,Televoting,10
dusseldorf-2011,first-semi-final,azerbaijan,Georgia,Televoting,8
dusseldorf-2011,first-semi-final,azerbaijan,Malta,Televoting,7
dusseldorf-2011,first-semi-final,azerbaijan,San Marino,Televoting,6
dusseldorf-2011,first-semi-final,azerbaijan,Russia,Televoting,5
dusseldorf-2011,first-semi-final,azerbaijan,Croatia,Televoting,4
dusseldorf-2011,first-semi-final,azerbaijan,Finland,Televoting,3
dusseldorf-2011,first-semi-final,azerbaijan,Albania,Televoting,2
dusseldorf-2011,first-semi-final,azerbaijan,Norway,Televoting,1
dusseldorf-2011,first-semi-final,croatia,Serbia,Televoting,12
dusseldorf-2011,first-semi-final,croatia,Azerbaijan,Televoting,10
dusseldorf-2011,first-semi-final,croatia,Greece,Televoting,8
dusseldorf-2011,first-semi-final,croatia,Albania,Televoting,7
dusseldorf-2011,first-semi-final,croatia,Hungary,Televoting,6
dusseldorf-2011,first-semi-final,croatia,Russia,Televoting,5
dusseldorf-2011,first-semi-final,croatia,Malta,Televoting,4
dusseldorf-2011,first-semi-final,croatia,Finland,Televoting,3
dusseldorf-2011,first-semi-final,croatia,Switzerland,Televoting,2
dusseldorf-2011,first-semi-final,croatia,San Marino,Televoting,1
dusseldorf-2011,first-semi-final,finland,Hungary,Televoting,12
dusseldorf-2011,first-semi-final,finland,Iceland,Televoting,10
dusseldorf-2011,first-semi-final,finland,Norway,Televoting,8
dusseldorf-2011,first-semi-final,finland,Serbia,Televoting,7
dusseldorf-2011,first-semi-final,finland,Switzerland,Televoting,6
dusseldorf-2011,first-semi-final,finland,Azerbaijan,Televoting,5
dusseldorf-2011,first-semi-final,finland,Greece,Televoting,4
dusseldorf-2011,first-semi-final,finland,Russia,Televoting,3
dusseldorf-2011,first-semi-final,finland,Lithuania,Televoting,2
dusseldorf-2011,first-semi-final,finland,Georgia,Televoting,1
dusseldorf-2011,first-semi-final,georgia,Azerbaijan,Televoting,12
dusseldorf-2011,first-semi-final,georgia,Lithuania,Televoting,10
dusseldorf-2011,first-semi-final,georgia,Armenia,Televoting,8
dusseldorf-2011,first-semi-final,georgia,Greece,Televoting,7
dusseldorf-2011,first-semi-final,georgia,Malta,Televoting,6
dusseldorf-2011,first-semi-final,georgia,Russia,Televoting,5
dusseldorf-2011,first-semi-final,georgia,Poland,Televoting,4
dusseldorf-2011,first-semi-final,georgia,Turkey,Televoting,3
dusseldorf-2011,first-semi-final,georgia,Portugal,Televoting,2
dusseldorf-2011,first-semi-final,georgia,San Marino,Televoting,1
dusseldorf-2011,first-semi-final,greece,Albania,Televoting,12
dusseldorf-2011,first-semi-final,greece,Georgia,Televoting,10
dusseldorf-2011,first-semi-final,greece,Armenia,Televoting,8
dusseldorf-2011,first-semi-final,greece,Azerbaijan,Televoting,7
dusseldorf-2011,first-semi-final,greece,Iceland,Televoting,6
dusseldorf-2011,first-semi-final,greece,Hungary,Televoting,5
dusseldorf-2011,first-semi-final,greece,Lithuania,Televoting,4
dusseldorf-2011,first-semi-final,greece,Russia,Televoting,3
dusseldorf-2011,first-semi-final,greece,San Marino,Televoting,2
dusseldorf-2011,first-semi-final,greece,Portugal,Televoting,1
dusseldorf-2011,first-semi-final,hungary,Iceland,Televoting,12
dusseldorf-2011,first-semi-final,hungary,Greece,Televoting,10
dusseldorf-2011,first-semi-final,hungary,Switzerland,Televoting,8
dusseldorf-2011,first-semi-final,hungary,Azerbaijan,Televoting,7
dusseldorf-2011,first-semi-final,hungary,Finland,Televoting,6
dusseldorf-2011,first-semi-final,hungary,Lithuania,Televoting,5
dusseldorf-2011,first-semi-final,hungary,Poland,Televoting,4
dusseldorf-2011,first-semi-final,hungary,Russia,Televoting,3
dusseldorf-2011,first-semi-final,hungary,Malta,Televoting,2
dusseldorf-2011,first-semi-final,hungary,Georgia,Televoting,1
dusseldorf-2011,first-semi-final,iceland,Finland,Televoting,12
dusseldorf-2011,first-semi-final,iceland,Norway,Televoting,10
dusseldorf-2011,first-semi-final,iceland,Azerbaijan,Televoting,8
dusseldorf-2011,first-semi-final,iceland,Hungary,Televoting,7
dusseldorf-2011,first-semi-final,iceland,Switzerland,Televoting,6
dusseldorf-2011,first-semi-final,iceland,Serbia,Televoting,5
dusseldorf-2011,first-semi-final,iceland,Armenia,Televoting,4
dusseldorf-2011,first-semi-final,iceland,Russia,Televoting,3
dusseldorf-2011,first-semi-final,iceland,Lithuania,Televoting,2
dusseldorf-2011,first-semi-final,iceland,Croatia,Televoting,1
dusseldorf-2011,first-semi-final,lithuania,Georgia,Televoting,12
dusseldorf-2011,first-semi-final,lithuania,Azerbaijan,Televoting,10
dusseldorf-2011,first-semi-final,lithuania,Iceland,Televoting,8
dusseldorf-2011,first-semi-final,lithuania,Finland,Televoting,7
dusseldorf-2011,first-semi-final,lithuania,Switzerland,Televoting,6
dusseldorf-2011,first-semi-final,lithuania,Russia,Televoting,5
dusseldorf-2011,first-semi-final,lithuania,Greece,Televoting,4
dusseldorf-2011,first-semi-final,lithuania,Serbia,Televoting,3
dusseldorf-2011,first-semi-final,lithuania,Poland,Televoting,2
dusseldorf-2011,first-semi-final,lithuania,Malta,Televoting,1
dusseldorf-2011,first-semi-final,malta,Croatia,Televoting,12
dusseldorf-2011,first-semi-final,malta,Azerbaijan,Televoting,10
dusseldorf-2011,first-semi-final,malta,Georgia,Televoting,8
dusseldorf-2011,first-semi-final,malta,Armenia,Televoting,7
dusseldorf-2011,first-semi-final,malta,San Marino,Televoting,6
dusseldorf-2011,first-semi-final,malta,Greece,Televoting,5
dusseldorf-2011,first-semi-final,malta,Norway,Televoting,4
dusseldorf-2011,first-semi-final,malta,Serbia,Televoting,3
dusseldorf-2011,first-semi-final,malta,Turkey,Televoting,2
dusseldorf-2011,first-semi-final,malta,Hungary,Televoting,1
dusseldorf-2011,first-semi-final,norway,Finland,Televoting,12
dusseldorf-2011,first-semi-final,norway,Iceland,Televoting,10
dusseldorf-2011,first-semi-final,norway,Lithuania,Televoting,8
dusseldorf-2011,first-semi-final,norway,Serbia,Televoting,7
dusseldorf-2011,first-semi-final,norway,Switzerland,Televoting,6
dusseldorf-2011,first-semi-final,norway,Hungary,Televoting,5
dusseldorf-2011,first-semi-final,norway,Russia,Televoting,4
dusseldorf-2011,first-semi-final,norway,Poland,Televoting,3
dusseldorf-2011,first-semi-final,norway,Malta,Televoting,2
dusseldorf-2011,first-semi-final,norway,Greece,Televoting,1
dusseldorf-2011,first-semi-final,poland,Lithuania,Televoting,12
dusseldorf-2011,first-semi-final,poland,Finland,Televoting,10
dusseldorf-2011,first-semi-final,poland,Azerbaijan,Televoting,8
dusseldorf-2011,first-semi-final,poland,Greece,Televoting,7
dusseldorf-2011,first-semi-final,poland,Serbia,Televoting,6
dusseldorf-2011,first-semi-final,poland,Georgia,Televoting,5
dusseldorf-2011,first-semi-final,poland,Iceland,Televoting,4
dusseldorf-2011,first-semi-final,poland,Switzerland,Televoting,3
dusseldorf-2011,first-semi-final,poland,Armenia,Televoting,2
dusseldorf-2011,first-semi-final,poland,Norway,Televoting,1
dusseldorf-2011,first-semi-final,portugal,Greece,Televoting,12
dusseldorf-2011,first-semi-final,portugal,Iceland,Televoting,10
dusseldorf-2011,first-semi-final,portugal,Finland,Televoting,8
dusseldorf-2011,first-semi-final,portugal,Azerbaijan,Televoting,7
dusseldorf-2011,first-semi-final,portugal,Lithuania,Televoting,6
dusseldorf-2011,first-semi-final,portugal,Switzerland,Televoting,5
dusseldorf-2011,first-semi-final,portugal,Albania,Televoting,4
dusseldorf-2011,first-semi-final,portugal,Russia,Televoting,3
dusseldorf-2011,first-semi-final,portugal,Norway,Televoting,2
dusseldorf-2011,first-semi-final,portugal,Serbia,Televoting,1
dusseldorf-2011,first-semi-final,russia,Finland,Televoting,12
dusseldorf-2011,first-semi-final,russia,Azerbaijan,Televoting,10
dusseldorf-2011,first-semi-final,russia,Armenia,Televoting,8
dusseldorf-2011,first-semi-final,russia,Lithuania,Televoting,7
dusseldorf-2011,first-semi-final,russia,Greece,Televoting,6
dusseldorf-2011,first-semi-final,russia,Georgia,Televoting,5
dusseldorf-2011,first-semi-final,russia,Serbia,Televoting,4
dusseldorf-2011,first-semi-final,russia,Iceland,Televoting,3
dusseldorf-2011,first-semi-final,russia,Turkey,Televoting,2
dusseldorf-2011,first-semi-final,russia,Croatia,Televoting,1
dusseldorf-2011,first-semi-final,san-marino,Malta,Televoting,12
dusseldorf-2011,first-semi-final,san-marino,Turkey,Televoting,10
dusseldorf-2011,first-semi-final,san-marino,Albania,Televoting,8
dusseldorf-2011,first-semi-final,san-marino,Armenia,Televoting,7
dusseldorf-2011,first-semi-final,san-marino,Greece,Televoting,6
dusseldorf-2011,first-semi-final,san-marino,Azerbaijan,Televoting,5
dusseldorf-2011,first-semi-final,san-marino,Croatia,Televoting,4
dusseldorf-2011,first-semi-final,san-marino,Serbia,Televoting,3
dusseldorf-2011,first-semi-final,san-marino,Georgia,Televoting,2
dusseldorf-2011,first-semi-final,san-marino,Russia,Televoting,1
dusseldorf-2011,first-semi-final,serbia,Croatia,Televoting,12
dusseldorf-2011,first-semi-final,serbia,Hungary,Televoting,10
dusseldorf-2011,first-semi-final,serbia,Iceland,Televoting,8
dusseldorf-2011,first-semi-final,serbia,Greece,Televoting,7
dusseldorf-2011,first-semi-final,serbia,Russia,Televoting,6
dusseldorf-2011,first-semi-final,serbia,Malta,Televoting,5
dusseldorf-2011,first-semi-final,serbia,Georgia,Televoting,4
dusseldorf-2011,first-semi-final,serbia,Finland,Televoting,3
dusseldorf-2011,first-semi-final,serbia,Switzerland,Televoting,2
dusseldorf-2011,first-semi-final,serbia,Lithuania,Televoting,1
dusseldorf-2011,first-semi-final,spain,Iceland,Televoting,12
dusseldorf-2011,first-semi-final,spain,Hungary,Televoting,10
dusseldorf-2011,first-semi-final,spain,Portugal,Televoting,8
dusseldorf-2011,first-semi-final,spain,Greece,Televoting,7
dusseldorf-2011,first-semi-final,spain,Switzerland,Televoting,6
dusseldorf-2011,first-semi-final,spain,Lithuania,Televoting,5
dusseldorf-2011,first-semi-final,spain,Finland,Televoting,4
dusseldorf-2011,first-semi-final,spain,Armenia,Televoting,3
dusseldorf-2011,first-semi-final,spain,Serbia,Televoting,2
dusseldorf-2011,first-semi-final,spain,Azerbaijan,Televoting,1
dusseldorf-2011,first-semi-final,switzerland,Serbia,Televoting,12
dusseldorf-2011,first-semi-final,switzerland,Finland,Televoting,10
dusseldorf-2011,first-semi-final,switzerland,Iceland,Televoting,8
dusseldorf-2011,first-semi-final,switzerland,Greece,Televoting,7
dusseldorf-2011,first-semi-final,switzerland,Albania,Televoting,6
dusseldorf-2011,first-semi-final,switzerland,Turkey,Televoting,5
dusseldorf-2011,first-semi-final,switzerland,Portugal,Televoting,4
dusseldorf-2011,first-semi-final,switzerland,Lithuania,Televoting,3
dusseldorf-2011,first-semi-final,switzerland,Norway,Televoting,2
dusseldorf-2011,first-semi-final,switzerland,Azerbaijan,Televoting,1
dusseldorf-2011,first-semi-final,turkey,Azerbaijan,Televoting,12
dusseldorf-2011,first-semi-final,turkey,Georgia,Televoting,10
dusseldorf-2011,first-semi-final,turkey,Albania,Televoting,8
dusseldorf-2011,first-semi-final,turkey,Armenia,Televoting,7
dusseldorf-2011,first-semi-final,turkey,Hungary,Televoting,6
dusseldorf-2011,first-semi-final,turkey,San Marino,Televoting,5
dusseldorf-2011,first-semi-final,turkey,Greece,Televoting,4
dusseldorf-2011,first-semi-final,turkey,Russia,Televoting,3
dusseldorf-2011,first-semi-final,turkey,Malta,Televoting,2
dusseldorf-2011,first-semi-final,turkey,Finland,Televoting,1
dusseldorf-2011,first-semi-final,united-kingdom,Lithuania,Televoting,12
dusseldorf-2011,first-semi-final,united-kingdom,Hungary,Televoting,10
dusseldorf-2011,first-semi-final,united-kingdom,Greece,Televoting,8
dusseldorf-2011,first-semi-final,united-kingdom,Iceland,Televoting,7
dusseldorf-2011,first-semi-final,united-kingdom,Finland,Televoting,6
dusseldorf-2011,first-semi-final,united-kingdom,Poland,Televoting,5
dusseldorf-2011,first-semi-final,united-kingdom,Azerbaijan,Televoting,4
dusseldorf-2011,first-semi-final,united-kingdom,Portugal,Televoting,3
dusseldorf-2011,first-semi-final,united-kingdom,Switzerland,Televoting,2
dusseldorf-2011,first-semi-final,united-kingdom,Turkey,Televoting,1
dusseldorf-2011,second-semi-final,austria,Bosnia & Herzegovina,Televoting,12
dusseldorf-2011,second-semi-final,austria,Sweden,Televoting,10
dusseldorf-2011,second-semi-final,austria,Slovenia,Televoting,8
dusseldorf-2011,second-semi-final,austria,Denmark,Televoting,7
dusseldorf-2011,second-semi-final,austria,Romania,Televoting,6
dusseldorf-2011,second-semi-final,austria,Estonia,Televoting,5
dusseldorf-2011,second-semi-final,austria,Latvia,Televoting,4
dusseldorf-2011,second-semi-final,austria,Slovakia,Televoting,3
dusseldorf-2011,second-semi-final,austria,Bulgaria,Televoting,2
dusseldorf-2011,second-semi-final,austria,Belgium,Televoting,1
dusseldorf-2011,second-semi-final,belarus,Ukraine,Televoting,12
dusseldorf-2011,second-semi-final,belarus,Moldova,Televoting,10
dusseldorf-2011,second-semi-final,belarus,Sweden,Televoting,8
dusseldorf-2011,second-semi-final,belarus,F.Y.R. Macedonia,Televoting,7
dusseldorf-2011,second-semi-final,belarus,Israel,Televoting,6
dusseldorf-2011,second-semi-final,belarus,Bosnia & Herzegovina,Televoting,5
dusseldorf-2011,second-semi-final,belarus,Denmark,Televoting,4
dusseldorf-2011,second-semi-final,belarus,Slovakia,Televoting,3
dusseldorf-2011,second-semi-final,belarus,Latvia,Televoting,2
dusseldorf-2011,second-semi-final,belarus,Estonia,Televoting,1
dusseldorf-2011,second-semi-final,belgium,Sweden,Televoting,12
dusseldorf-2011,second-semi-final,belgium,Romania,Televoting,10
dusseldorf-2011,second-semi-final,belgium,The Netherlands,Televoting,8
dusseldorf-2011,second-semi-final,belgium,Denmark,Televoting,7
dusseldorf-2011,second-semi-final,belgium,Estonia,Televoting,6
dusseldorf-2011,second-semi-final,belgium,Ireland,Televoting,5
dusseldorf-2011,second-semi-final,belgium,Bosnia & Herzegovina,Televoting,4
